State,Sector,Sl No,Project Name,Agency Name,Project Code,Date of Approval (MM/YYYY),Date of Commissioning Original,Date of Commissioning Revised,Date of Commissioning Anticipated,Cost Original,Cost Revised,Cost Anticipated,Cumulative Expenditure in Rs. Crore,Progress (%)
MAHARASHTRA,ROAD TRANSPORT AND,988,REHABILITATION AND UPGRADATION OF BHOKARDAN TO KUMBHARI FATA DESIGN CH. (KM 13+500 TO 17+00) AND RAJ,MoRTH,N24001887,8/2022,6/2024,N.A.,6/2024,291.37,N.A.,291.37,102.94,0
MAHARASHTRA,ROAD TRANSPORT AND,989,"UP-GRADATION OF TIRORA- GONDIA, STATE HIGHWAY FROM EXISTING KM 163+213 (ON SH- 335, TIRORA) TO KM 191+",MoRTH,N24001888,8/2021,4/2023,N.A.,5/2024,288.14,N.A.,288.14,63.01,46
MAHARASHTRA,ROAD TRANSPORT AND,990,2 LANE + PS PIMPLNER TO SATANA -[DESIGN CHAINAGE KM 21.427 TO 64.00 ] OF NH-752G],MoRTH,N24001889,9/2019,7/2021,N.A.,12/2023,277.81,N.A.,277.81,148.68,0
MAHARASHTRA,ROAD TRANSPORT AND,991,REHABILITATION AND UPGRADATION OF PARLI TO SIRSALA SECTION OF NH-361F (KM 136+700 TO 115+000) (LENGT,MoRTH,N24001890,2/2023,12/2024,N.A.,12/2024,261.82,N.A.,261.82,70.59,46
MAHARASHTRA,ROAD TRANSPORT AND,992,BALANCE WORK OF REHABILITATION AND UP- GRADATION TO NH-166F FROM MAHAD JUNCTION (AT KM 123/400 ON NH-,MoRTH,N24001891,7/2021,11/2023,N.A.,3/2024,256.54,N.A.,256.54,80.10,59.66
MAHARASHTRA,ROAD TRANSPORT AND,993,REHABILITATION AND UPGRADATION OF SHIRAPUR JUNCTION TO SHIVAJI CHOWK (DESIGN CHAINAGE KM. 130+00 TO,MoRTH,N24001892,2/2023,12/2024,N.A.,12/2024,245.61,N.A.,245.61,43.39,32.5
MAHARASHTRA,ROAD TRANSPORT AND,994,2 LANE + PS ASTHAMODE - TIVATYAL [DESIGN CH. KM 24.300 - 62.00] [KM 134.98-172.95 OF NH- 63],MoRTH,N24001894,9/2019,7/2021,N.A.,12/2023,228.82,N.A.,228.82,144.54,95
MAHARASHTRA,ROAD TRANSPORT AND,995,REHABILATION AND UPGRADATION TO TWO LANES WITH PAVED SHOULDER CONFIGURATION FROM WATUR TO CHARTHANA,MoRTH,N24001895,11/2021,9/2023,N.A.,12/2023,228.01,N.A.,228.01,103.01,99
MAHARASHTRA,ROAD TRANSPORT AND,996,UPGRADATIOBN AND REHABILITATION OF SECTION OF NH 361 F FROM PARLI (00/000) TO GANGAKHED (30/400) TO,MoRTH,N24001896,11/2021,9/2023,N.A.,4/2024,224.44,N.A.,224.44,75.34,45.63
MAHARASHTRA,ROAD TRANSPORT AND,997,REHABILITATION AND UP- GRADATION OF SABALKHED TO ASHTI SECTION FROM KM 37+900 TO KM 55+100 AND CHINCH,MoRTH,N24001902,12/2022,9/2024,N.A.,9/2024,213.32,N.A.,213.32,20.00,34
MAHARASHTRA,ROAD TRANSPORT AND,998,REHABILITATION AND UP- GRADATION OF MUDKHED TO NANDED SECTION FROM KM. 372+000 TO KM 388+400 OF NH 16,MoRTH,N24001903,8/2022,4/2025,N.A.,4/2025,206.54,N.A.,206.54,21.36,0
MAHARASHTRA,ROAD TRANSPORT AND,999,KOPARGAON TO SAVALI VIHIR SECTION,MoRTH,N24001904,9/2022,7/2024,N.A.,7/2024,195.38,N.A.,195.38,29.59,19.76
MAHARASHTRA,ROAD TRANSPORT AND,1000,"CONSTRUCTION OF MAJOR BRIDGE ACROSS MANJRA RIVER NEAR YESGI VILLAGE @ KM, 166/500 ON NH 63 TQ BILOLI",MoRTH,N24001905,10/2021,8/2023,N.A.,12/2023,188.69,N.A.,188.69,111.26,96
MAHARASHTRA,ROAD TRANSPORT AND,1001,UP-GRADATION TO 4 LANING OF DAULTABAD T-POINT TO MALIWADA [FROM DESIGN KM.0.000 TO KM 4.000] AND UPG,MoRTH,N24001906,8/2022,3/2024,N.A.,3/2024,185.59,N.A.,185.59,63.56,48
MAHARASHTRA,ROAD TRANSPORT AND,1002,"CONSTRUCTION OF SIX LANE FLYOVER AT KATRAJ JUNCTION AT KM, 3/880 OF NH 548-DD (VADGAON - KATRAJ - KO",MoRTH,N24001907,6/2021,2/2024,N.A.,3/2024,169.15,N.A.,169.15,36.94,35.96
MAHARASHTRA,ROAD TRANSPORT AND,1003,UPGRADATION OF EXHISTING 2 LANE FLEXIBLE PAVEMENT TO 2 LANE PAVED SHOULDERS RIGID PAVEMENT FROM DESI,MoRTH,N24001908,12/2021,5/2024,N.A.,5/2024,167.97,N.A.,167.97,35.28,36.76
MAHARASHTRA,ROAD TRANSPORT AND,1004,"STRENGTHING AND WIDINING OF EXISTING CARRIAGEWAY TO 10 M IN KM, 156/160 TO 229/160 (TEMBHURNI - KUSL",MoRTH,N24001909,11/2021,6/2024,N.A.,6/2024,157.72,N.A.,157.72,55.38,90
MAHARASHTRA,ROAD TRANSPORT AND,1005,REHABILITATION AND UPGRADATION OF JAMKHED TO SAUTADA SECTION OF NH548 D (FROM KM 195.375 TO KM 208.7,MoRTH,N24001910,9/2022,7/2024,N.A.,7/2024,157.62,N.A.,157.62,13.86,17.03
MAHARASHTRA,ROAD TRANSPORT AND,1006,PANGAON TO DHARMAPURI AND PARALI TO INJEGAON 2L+PS,MoRTH,N24001911,3/2018,7/2024,N.A.,12/2023,152.03,N.A.,152.03,81.35,97.57
MAHARASHTRA,URBAN DEVELOPMENT,1007,MUMBAI METRO LINE 3 (COLABA- BANDRA-SEEPZ),MMRCL,N28000086,7/2013,3/2020,N.A.,12/2023,"23,136.00",N.A.,"37,276.00","23,687.33",87.2
MAHARASHTRA,URBAN DEVELOPMENT,1008,PUNE METRO RAIL PROJECT (PHASE 1),MMRC,N28000121,12/2016,11/2021,Sep-24,9/2024,"11,420.00","13,656.22","13,656.22","12,797.93",100
MAHARASHTRA,URBAN DEVELOPMENT,1009,NAGPUR METRO RAIL PROJECT PHASE II,NMRCL,N28000155,12/2022,12/2027,N.A.,12/2027,"6,708.00",N.A.,"6,708.00",357.16,14.1
MAHARASHTRA,URBAN DEVELOPMENT,1010,PCMC NIGDI PROJECT EXTENSION OF CORRIDOR 1 OF PUNE METRO PHASE 1,MMRC,N28000157,10/2023,1/2027,N.A.,1/2027,910.18,N.A.,910.18,18.46,7
MAHARASHTRA,URBAN DEVELOPMENT,1011,PUNE METRO PHASE-1 EXTENSION FROM SWARGATE TO KATRAJ,MMRC,N28000160,9/2024,3/2029,N.A.,3/2029,"2,954.53",N.A.,"2,954.53",1.02,1
MAHARASHTRA,WATER RESOURCES,1012,PROTECTION OF MAJULI ISLAND FROM FLOOD AND EROSION OF RIVER BRAHMAPUTRA,BPB,N30000001,3/2017,12/2019,Aug-24,12/2023,233.57,N.A.,233.57,217.42,
MANIPUR,CIVIL AVIATION,1013,"CONSTRUCTION OF NEW INTEGRATED TERMINAL BUILDING, CONTROL TOWER CUM TECHNICAL BLOCK, APRON, LINK TAX",AAI,N04000100,11/2021,7/2024,Mar-26,3/2026,499.00,N.A.,499.00,115.07,37.88
MANIPUR,RAILWAYS,1014,JIRIBAM TO IMPHAL (TUPUI)(NL)(NEFR),NFR,220100288,4/2003,3/2011,Mar-28,12/2028,"4,454.17","12,274.06","19,517.70","14,933.20",80.25
MANIPUR,ROAD TRANSPORT AND,1015,UKHRUL TOLOI TADUBI PKG-2,NHIDCL,N24002131,3/2023,2/2026,Mar-26,3/2026,578.98,N.A.,578.98,68.63,37.24
MANIPUR,ROAD TRANSPORT AND,1016,2-LANING OF CHURACHANDPUR TUIVAI SECTION OF NH-102B (PKG- 2A),NHIDCL,N24001270,3/2020,6/2022,Jan-25,1/2025,292.24,N.A.,292.24,127.86,85.33
MANIPUR,ROAD TRANSPORT AND,1017,2-LANING OF CHURACHANDPUR TUIVAI SECTION OF NH-102B (PKG- 2B),NHIDCL,N24001271,6/2020,8/2022,Jan-25,1/2025,365.53,N.A.,365.53,156.31,77.36
MANIPUR,ROAD TRANSPORT AND,1018,2-LANING OF CHURACHANDPUR TUIVAI SECTION OF NH-102B (PKG- 4A),NHIDCL,N24001272,3/2020,6/2022,Jan-25,1/2025,167.95,204.12,167.95,88.05,69.89
MANIPUR,ROAD TRANSPORT AND,1019,2-LANING OF CHURACHANDPUR TUIVAI SECTION OF NH-102B (PKG- 4B),NHIDCL,N24001273,7/2020,8/2022,Feb-25,2/2025,177.76,N.A.,177.76,89.67,80.53
MANIPUR,ROAD TRANSPORT AND,1020,IMPROVEMENT/UPGRADATION OF EXISTING 2-LANE TO 4-LANE DIVIDED HIGHWAY FROM TAPHOU KUKI TO DAILI SECTI,NHIDCL,N24001274,8/2020,4/2022,May-25,5/2025,379.39,N.A.,379.39,189.86,48.33
MANIPUR,ROAD TRANSPORT AND,1021,IMPROVEMENT/UPGRADATION OF EXISTING 2-LANE TO 4-LANE DIVIDED HIGHWAY FROM DAILI TO KURAOPOKPI SECTIO,NHIDCL,N24001275,8/2020,4/2022,N.A.,6/2026,268.98,N.A.,268.98,22.08,0
MANIPUR,ROAD TRANSPORT AND,1022,IMPROVEMENT/UPGRADATION OF EXISTING 2-LANE TO 4-LANE DIVIDED HIGHWAY FROM KURAOPOKPI TO SEKMAI SECTI,NHIDCL,N24001276,8/2020,4/2022,N.A.,12/2025,228.97,N.A.,228.97,0.00,0
MANIPUR,ROAD TRANSPORT AND,1023,MARIAM - PEREN PKG-1A,NHIDCL,N24001349,2/2021,12/2022,Mar-25,3/2025,226.32,N.A.,226.32,88.98,67.34
MANIPUR,ROAD TRANSPORT AND,1024,MARIAM - PEREN (PKG 1B),NHIDCL,N24001350,2/2021,12/2022,Oct-24,12/2024,188.36,N.A.,188.36,126.71,97.95
MANIPUR,ROAD TRANSPORT AND,1025,IMPHAL ? MOREH PACKAGE- 3,NHIDCL,N24001352,3/2021,12/2022,N.A.,6/2024,259.31,N.A.,259.31,144.94,100
MANIPUR,ROAD TRANSPORT AND,1026,IMPHAL - KHONGSANG PKG-2,NHIDCL,N24001353,3/2021,12/2022,Mar-25,3/2025,195.14,N.A.,195.14,61.81,50.79
MANIPUR,ROAD TRANSPORT AND,1027,TAMENGLONG - MAHUR PKG-3,NHIDCL,N24001354,3/2021,12/2022,Jan-25,1/2025,234.08,N.A.,234.08,139.45,90.34
MANIPUR,ROAD TRANSPORT AND,1028,IMPHAL ? MOREH (PACKAGE 4),NHIDCL,N24001399,3/2021,1/2023,N.A.,4/2024,277.99,N.A.,277.99,146.35,100
MANIPUR,ROAD TRANSPORT AND,1029,SENAPATI- IMPHAL PKG-5B,NHIDCL,N24001400,3/2021,1/2023,May-25,5/2025,211.70,N.A.,211.70,48.85,40.1
MANIPUR,ROAD TRANSPORT AND,1030,IMPHAL - KHONGSANG PKG-3,NHIDCL,N24001401,7/2021,3/2023,Mar-25,3/2025,467.00,N.A.,467.00,183.55,75.34
MANIPUR,ROAD TRANSPORT AND,1031,TAMENGLONG - MAHUR PKG-1,NHIDCL,N24001402,7/2021,3/2023,Jan-25,1/2025,185.80,N.A.,185.80,112.31,93.48
MANIPUR,ROAD TRANSPORT AND,1032,TAMENGLONG - MAHUR PKG-2,NHIDCL,N24001403,7/2021,3/2023,Aug-24,1/2025,483.87,N.A.,483.87,278.89,91.03
MANIPUR,ROAD TRANSPORT AND,1033,TAMENGLONG - MAHUR PKG-4,NHIDCL,N24001404,7/2021,3/2023,Feb-25,2/2025,198.77,N.A.,198.77,110.09,87.15
MANIPUR,ROAD TRANSPORT AND,1034,CHURACHANPUR TUIVAI PKG-3,NHIDCL,N24001405,7/2021,10/2023,Mar-25,3/2025,673.27,N.A.,673.27,361.71,72.9
MANIPUR,ROAD TRANSPORT AND,1035,TAMENGLONG - MAHUR PKG-5,NHIDCL,N24001436,8/2021,5/2023,Apr-25,4/2025,477.86,N.A.,477.86,235.67,80.3
MANIPUR,ROAD TRANSPORT AND,1036,TAMENGLONG - MAHUR PKG-6,NHIDCL,N24001437,9/2021,5/2023,Nov-24,4/2025,311.18,N.A.,311.18,171.57,72.7
MANIPUR,ROAD TRANSPORT AND,1037,MARAM - PEREN PKG-3,NHIDCL,N24001439,8/2021,5/2023,Oct-24,1/2025,467.41,N.A.,467.41,244.38,94.25
MANIPUR,ROAD TRANSPORT AND,1038,IMPHAL - KHONGSANG PKG-4,NHIDCL,N24001453,8/2021,12/2023,Jul-25,7/2025,579.63,N.A.,579.63,133.50,53.35
MANIPUR,ROAD TRANSPORT AND,1039,CONSTRUCTION OF 2-LANING WITH HARD SHOULDER ROAD OF UKHRUL - TOLOI - TADUBI SECTION OF NH-102A FROM,NHIDCL,N24001473,9/2021,2/2024,Mar-25,3/2025,310.76,N.A.,310.76,121.56,80.19
MANIPUR,ROAD TRANSPORT AND,1040,IMPHAL - KHONGSANG PKG-5,NHIDCL,N24001538,12/2021,5/2024,Feb-25,2/2025,410.68,N.A.,410.68,105.71,51.05
MANIPUR,ROAD TRANSPORT AND,1041,IMPHAL - KHONGSANG PKG-6,NHIDCL,N24001539,12/2021,2/2025,Sep-25,9/2025,504.76,N.A.,504.76,114.52,52.58
MANIPUR,ROAD TRANSPORT AND,1042,AKASH BRIDGE - JESSAMI SECTION PKG-2,NHIDCL,N24001540,3/2022,2/2025,Feb-25,2/2025,152.11,N.A.,152.11,53.26,78
MANIPUR,ROAD TRANSPORT AND,1043,CONSTRUCTION OF 2-LANING WITH HARD SHOULDER ROAD OF UKHRUL - TOLOI - TADUBI SECTION OF NH-102A FROM,NHIDCL,N24001974,9/2021,1/2025,Sep-25,9/2025,315.56,N.A.,315.56,73.38,53.05
MANIPUR,ROAD TRANSPORT AND,1044,LMPHAL TO JIRIBAM PKG-7,NHIDCL,N24002028,1/2023,12/2025,Dec-25,12/2025,760.16,N.A.,760.16,67.07,32.38
MEGHALAYA,DEPARTMENT OF HIGHER EDUCATION,1045,CONSTRUCTION AND DEVELOPMENT OF NATINAL INSTITUTE OF TECHNOLOGY MEGHALAYA PERMANENT CAMPUS AT SOHRA,RITES OF HIGHER,N42000001,9/2013,9/2014,Jul-24,7/2024,484.32,429.70,429.70,285.05,75
MEGHALAYA,DONER,1046,"CONSTRUCTION OF INTERNATIONAL CENTRE FOR PERFORMING ARTS AND CULTURE,SHILONG IN MEGALAYA UNDER NLCPR",HSCL FOR DONER,N12000103,4/2014,9/2017,N.A.,9/2017,151.33,N.A.,151.33,148.33,98.5
MEGHALAYA,ROAD TRANSPORT AND,1047,CONSTRUCTION OF 2-LANE WITH PAVED SHOULDER OF SHILLONG WESTERN BYPASS STARTING FROM NH-06 NEAR LADUM,NHIDCL,N24002156,3/2023,9/2026,N.A.,9/2026,620.30,N.A.,620.30,168.64,2.5
MEGHALAYA,ROAD TRANSPORT AND,1048,SHILLONG WESTERN BYPASS PACKAGE-2,NHIDCL,N24002157,3/2023,9/2026,N.A.,9/2026,686.00,N.A.,686.00,241.74,0
MEGHALAYA,ROAD TRANSPORT AND,1049,CONSTRUCTION OF 2-LANE WITH PAVED SHOULDERS OF SHILLONG WESTERN BYPASS STARTING FROM NH-06 NEAR LADU,NHIDCL,N24002158,3/2023,9/2026,N.A.,9/2026,562.48,N.A.,562.48,263.14,0
MEGHALAYA,ROAD TRANSPORT AND,1050,WIDENING TO 2-LANE WITH GEOMETRIC IMPROVEMENTS OF TURA DALU ROAD UNDER JICA FUNDING FROM KM 85.000 T,NHIDCL,N24000771,4/2017,9/2021,Jul-23,3/2025,553.51,610.09,553.51,345.05,68.95
MEGHALAYA,ROAD TRANSPORT AND,1051,IMPROVEMENT/WIDENING TO 2-L WITH PAVED SHOULDER FROM (DESIGN KM 0.00 TO KM 10.670) / 4-LANING FROM (,NHIDCL,N24001313,11/2020,12/2023,Oct-25,10/2025,351.12,N.A.,351.12,232.80,32
MEGHALAYA,ROAD TRANSPORT AND,1052,IMPROVEMENT/WIDENING TO 2- LANE WITH PAVED SHOULDER FROM (DESIGN KM 10.670 TO KM 37.550) BETWEEN SHIL,NHIDCL,N24001314,11/2020,12/2023,N.A.,8/2026,525.68,N.A.,525.68,390.67,14.6
MEGHALAYA,ROAD TRANSPORT AND,1053,IMPROVEMENT/WIDENING TO 2- LANE WITH PAVED SHOULDER FROM (DESIGN KM 45.760 TO KM 63.530) BETWEEN SHIL,NHIDCL,N24001334,11/2020,12/2023,N.A.,4/2026,445.51,N.A.,445.51,193.78,10.2
MEGHALAYA,ROAD TRANSPORT AND,1054,IMPROVEMENT/WIDENING TO 2- LANE WITH PAVED SHOULDER / 4-LANING FROM (DESIGN KM 63.530 TO KM 71.520) B,NHIDCL,N24001335,11/2020,12/2023,N.A.,11/2026,284.21,N.A.,284.21,45.46,5.5
MEGHALAYA,ROAD TRANSPORT AND,1055,RANIKOR-MAHESHKHOLA- BAGHMARA (RMB) PKG-4 (KANAI- RONGARA),NHIDCL,N24001339,10/2020,4/2022,Jun-24,12/2024,157.86,146.92,157.86,147.62,97.49
MEGHALAYA,ROAD TRANSPORT AND,1056,RANIKOR-MAHESHKHOLA- BAGHMARA (RMB) PKG-3,NHIDCL,N24001360,3/2021,12/2022,Jun-24,11/2024,260.21,N.A.,260.21,217.61,93.45
MEGHALAYA,ROAD TRANSPORT AND,1057,REHABILITATION AND UPGRADATION OF NONGSTOIN TO WAHKAJI SECTION OF PROJECT ROAD KM 0.000 TO KM 43.06,MoRTH,N24001441,8/2020,2/2022,Dec-24,12/2024,302.88,N.A.,302.88,213.32,93.11
MEGHALAYA,ROAD TRANSPORT AND,1058,REHABITITATION AND UP GRADATION OF NONGSTOIN- RAMBRAI-KYRSHAI ROAD UP TO MEGHALAYA-ASSAM BORDER FROM,NHIDCL,N24001474,9/2021,5/2024,N.A.,12/2024,359.86,N.A.,359.86,220.69,79.2
MEGHALAYA,ROAD TRANSPORT AND,1059,RANIKOR- MAHESHKHOLA- BAGHMARA PKG-2,NHIDCL,N24001541,11/2021,6/2024,N.A.,12/2024,283.50,N.A.,283.50,203.23,73.5
MIZORAM,RAILWAYS,1060,"BHAIRABI SAIRONG, NL, NEFR",NFR,N22000100,4/2008,3/2014,N.A.,7/2025,"2,393.47","5,021.45","8,213.72","7,612.43",93
MIZORAM,ROAD TRANSPORT AND,1061,WIDENING AND UP-GRADATION TO 2-LANE WITH PAVED SHOULDER CONFIGURATION AND GEOMETRIC IMPROVEMENTS FRO,NHIDCL,N24000857,4/2017,4/2023,Nov-24,1/2025,519.09,785.65,785.65,657.51,90.12
MIZORAM,ROAD TRANSPORT AND,1062,WIDENING AND UP-GRADATION TO 2-LANE WITH PAVED SHOULDER CONFIGURATION AND GEOMETRIC IMPROVEMENTS FRO,NHIDCL,N24000858,4/2017,7/2023,May-24,5/2024,640.07,990.88,"1,286.35","1,217.65",98.9
MIZORAM,ROAD TRANSPORT AND,1063,WIDENING AND UP-GRADATION TO 2-LANE WITH PAVED SHOULDER CONFIGURATION AND GEOMETRIC IMPROVEMENTS FRO,NHIDCL,N24000859,4/2017,6/2023,Mar-24,3/2024,642.96,988.23,988.23,729.84,99.34
MIZORAM,ROAD TRANSPORT AND,1064,WIDENING AND UP-GRADATION TO 2-LANE WITH PAVED SHOULDER CONFIGURATION AND GEOMETRIC IMPROVEMENTS FRO,NHIDCL,N24000861,4/2017,4/2023,Nov-24,2/2025,473.18,688.25,688.25,521.23,85.1
MIZORAM,ROAD TRANSPORT AND,1065,WIDENING AND UP-GRADATION TO 2-LANE WITH PAVED SHOULDER CONFIGURATION AND GEOMETRIC IMPROVEMENTS FRO,NHIDCL,N24000862,4/2017,4/2023,Jul-24,2/2025,537.82,789.05,789.05,752.90,91.6
MIZORAM,ROAD TRANSPORT AND,1066,WIDENING AND UP-GRADATION TO 2-LANE WITH PAVED SHOULDER CONFIGURATION AND GEOMETRIC IMPROVEMENTS FRO,NHIDCL,N24000863,4/2017,6/2023,Oct-24,3/2025,518.53,906.76,906.76,804.57,90.15
MIZORAM,ROAD TRANSPORT AND,1067,WIDENING AND UP-GRADATION TO 2-LANE WITH PAVED SHOULDER CONFIGURATION AND GEOMETRIC IMPROVEMENTS FRO,NHIDCL,N24000864,4/2017,4/2024,Nov-24,3/2025,404.29,750.32,750.32,599.84,85.6
MIZORAM,ROAD TRANSPORT AND,1068,WIDENING AND UP-GRADATION TO 2-LANE WITH PAVED SHOULDER CONFIGURATION AND GEOMETRIC IMPROVEMENTS FRO,NHIDCL,N24000865,4/2017,9/2023,Nov-24,3/2025,428.11,746.39,746.39,588.02,87.7
MIZORAM,ROAD TRANSPORT AND,1069,CONSTRUCTION OF CHHIATHLANG -SERCHHIP BYPASS (PKG-1) ON AIZAWL- TUIPANG SECTION OF NH-54,NHIDCL,N24001277,9/2020,10/2022,Mar-24,3/2024,275.02,247.25,247.25,231.19,99.73
MIZORAM,ROAD TRANSPORT AND,1070,CONSTRUCTION OF TWO LANE WITH PAVED SHOULDER OF SELLING-DULTE SECTION OF NH- 06 (PKG-I),NHIDCL,N24001278,3/2020,7/2022,Jun-24,6/2024,206.88,219.33,219.33,206.58,97.01
MIZORAM,ROAD TRANSPORT AND,1071,CONSTRUCTION OF TWO LANE WITH PAVED SHOULDER OF SELLING-DULTE SECTION OF NH- 06 (PKG-III),NHIDCL,N24001281,3/2020,7/2022,Oct-24,10/2024,292.24,331.17,331.17,293.90,91.64
MIZORAM,ROAD TRANSPORT AND,1072,DULTE- KWALKULH - CHAMPAI PKG.1,NHIDCL,N24001355,3/2021,12/2022,Mar-24,3/2024,374.39,318.92,318.92,292.37,100
MIZORAM,ROAD TRANSPORT AND,1073,DULTE- KWALKULH - CHAMPAI PKG.2,NHIDCL,N24001356,3/2021,12/2022,Apr-24,4/2024,233.25,233.25,233.25,178.37,100
MIZORAM,ROAD TRANSPORT AND,1074,TLABUNG - LUNGLEI PKG-A,NHIDCL,N24001358,3/2021,12/2022,Dec-24,12/2025,698.44,698.45,698.45,400.71,43
MIZORAM,ROAD TRANSPORT AND,1075,TLABUNG - LUNGLEI PKG-B,NHIDCL,N24001359,3/2021,1/2023,Dec-24,12/2025,740.58,740.58,740.58,293.89,42
MIZORAM,ROAD TRANSPORT AND,1076,KEIFANG - TUVAI PKG-1,NHIDCL,N24001440,9/2021,5/2023,May-24,5/2024,492.94,492.94,492.94,357.26,84.7
MIZORAM,ROAD TRANSPORT AND,1077,UP-GRADATION TO 2-LANE WITH PAVED SHOULDERS OF NGOPA - PAWLRANG SECTION OF NH 102B OF AIZAWL - IMPHA,NHIDCL,N24001975,9/2021,2/2025,N.A.,2/2026,523.78,N.A.,523.78,263.25,49.8
MIZORAM,ROAD TRANSPORT AND,1078,KEIFANG - TUVAI PKG-3,NHIDCL,N24002027,12/2021,2/2025,N.A.,12/2025,500.88,N.A.,500.88,148.96,41.52
MULTI STATE,COAL,1079,NILJAI EXPANSION (DEEP) OC (3.5 MTY),WCL,N06000154,8/2016,3/2022,Mar-25,3/2025,319.76,319.76,319.76,281.40,98
MULTI STATE,COAL,1080,DURGAPUR EXTENSION (DEEP) OC (3.0 MTY),WCL,N06000157,2/2017,3/2021,Mar-25,3/2025,328.00,N.A.,328.00,321.43,96
MULTI STATE,COAL,1081,BINA KAKRI AMALGAMATION OCP 14 MTPA,NCL,N06000192,8/2020,3/2024,N.A.,3/2025,836.42,N.A.,836.42,701.97,55.92
MULTI STATE,DPIIT,1082,NATIONAL INDUSTRIAL CORRIDOR PROJECT,DMIC FOR DPIIT,N40000001,9/2011,3/2027,Mar-27,3/2027,"20,084.00","20,084.00","20,084.00","10,217.21",50.99
MULTI STATE,PETROLEUM,1083,KOCHI-KOOTTANAD-BANGALORE- MANGALORE PIPELINE PHASE-II,GAIL,N16000285,6/2009,12/2012,Feb-25,3/2025,"2,915.00","5,909.00","5,909.00","4,106.70",92.6
MULTI STATE,PETROLEUM,1084,SRIKAKULAM ANGUL PIPELINE PROJECT,GAIL,N16000388,9/2019,7/2022,Jun-25,6/2025,"2,658.34",N.A.,"2,658.34","1,985.10",92.8
MULTI STATE,PETROLEUM,1085,DHAMRA HALDIA PIPELINE PROJECT,GAIL,N16000391,3/2020,11/2022,Mar-25,3/2025,"1,030.65",N.A.,"1,030.65",791.00,84.9
MULTI STATE,PETROLEUM,1086,MUMBAI NAGPUR JHARSUGUDA PIPELINE PROJECT,GAIL,N16000398,6/2020,5/2023,Jun-25,6/2025,"7,844.25",N.A.,"7,844.25","5,869.80",90.7
MULTI STATE,PETROLEUM,1087,CGD PROJECT AT NAWADA AND KODERMA DISTRICTS,IOCL,N16000426,6/2019,12/2029,Mar-30,3/2030,169.00,N.A.,169.00,72.21,17.9
MULTI STATE,PETROLEUM,1088,NORTH EAST GAS GRID,IGGL,N16000439,11/2020,3/2024,Mar-25,3/2027,"9,265.00","9,265.00","9,265.00","5,483.02",83.85
MULTI STATE,PETROLEUM,1089,GURDASPUR JAMMU PIPELINE,GAIL,N16000531,7/2023,7/2026,Jul-26,7/2026,521.92,521.92,521.92,10.30,19.4
MULTI STATE,POWER,1090,ESTABLISHMENT OF FIBER OPTIC COMMUNICATION SYSTEM IN NR UNDER FIBER OPTIC EXPANSION PROJECT (ADDITIO,PGCIL,N18000184,3/2015,3/2018,N.A.,12/2024,197.40,N.A.,197.40,162.89,98
MULTI STATE,POWER,1091,COMPREHENSIVE SCHEME FOR THE STRENGHTENING OF THE TRANSMISSION AND DISTRIBUTION SYSTEM IN A P,PGCIL,N18000249,12/2014,12/2018,Mar-25,3/2025,"4,754.42","9,129.32","9,129.32","6,869.50",77.6
MULTI STATE,POWER,1092,NORTH EASTERN REGION POWER SYSTEM IMPROVEMENT PROJECT (NERPSIP) FOR SIX (6) STATES,PGCIL,N18000250,12/2014,12/2018,Mar-25,3/2025,"5,111.33","6,700.00","6,700.00","4,987.61",95.3
MULTI STATE,POWER,1093,HVDC BIPOLE LINK BETWEEN WR AND SR -NORTH TRICHUR - SCHEME -II AC SYSTEM STRENGTHENING AT PUGALUR EN,PGCIL,N18000264,8/2017,2/2020,Apr-23,9/2025,"1,931.39","2,635.55","2,635.55","1,972.44",99
MULTI STATE,POWER,1094,NORTH EASTERN REGION STRENGTHENING SCHEME-XII,PGCIL,N18000316,5/2021,3/2023,N.A.,8/2024,576.42,576.42,576.42,419.96,100
MULTI STATE,POWER,1095,TS FOR EVACUATION OF POWER FROM PAKALDUL HEP IN CHENAB VALLEY HEPS - LTA SYSTEM,PGCIL,N18000328,2/2022,4/2025,N.A.,4/2025,318.12,N.A.,318.12,146.75,86
MULTI STATE,POWER,1096,TRANSMISSION SYSTEM STRENGTHENING FOR SRINAGAR-LEH TRANSMISSION SYSTEM,PGCIL,N18000330,3/2022,12/2024,N.A.,9/2025,288.71,N.A.,288.71,131.79,44
MULTI STATE,POWER,1097,TRANSMISSION SYSTEM STRENGTHENING SCHEME FOR EVACUATION OF POWER FROM SOLAR ENERGY ZONES IN RAJASTHA,PGCIL,N18000331,2/2022,9/2023,N.A.,3/2025,359.47,N.A.,359.47,234.97,73
MULTI STATE,POWER,1098,TRANSMISSION SYSTEM STRENGTHENING SCHEME FOR EVACUATION OF POWER FROM SOLAR ENERGY ZONES IN RAJASTHA,PGCIL,N18000332,5/2022,11/2023,N.A.,3/2025,"1,666.00",N.A.,"1,666.00","1,341.62",81
MULTI STATE,POWER,1099,TRANSMISSION NETWORK EXPANSION IN GUJARAT TO INCREASE ATC FROM ISTS: PART B,PGCIL,N18000337,7/2022,6/2023,N.A.,3/2025,"4,546.26",N.A.,"4,546.26","2,423.35",75
